CCAA	andaluces	castellanos	catalanes	valencianos	gallegos	madrileños	vascos	otras_CCAA
Andalucia	9.30	6.80	4.50	6.69	6.66	7.02	5.17	6.73
Castilla	7.30	7.84	4.86	6.65	7.09	7.04	5.72	6.86
Catalunya	7.44	6.75	8.71	6.55	6.48	6.13	6.80	6.65
Valencia	6.76	6.94	6.03	8.55	6.67	6.47	6.05	6.70
Galicia	6.47	6.29	4.39	6.16	8.98	6.30	5.95	6.21
Madrid	7.49	7.77	5.07	6.36	7.08	8.67	5.96	7.01
Euzkadi	6.24	6.11	4.86	5.95	6.06	5.05	8.83	6.18
Resto_CCAA	6.95	6.40	4.53	6.26	6.33	6.24	5.35	6.20
